Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
George,Bullock,Vicki Ranch 3829,Diamondbury,40537,Danmark,DK,19720722-5830,+45,776-652-9288x401,1972-07-22,True
Helge,Sæther,Jørgensenmyra 8,Knutsen,7821,Norge,NO,19670411-3720,+47,485 95 029,1967-04-11,True
Therese,Andersson,Stationsvägen 97,Kalmar,19988,Sverige,SE,19760409-9832,+46,08-768 06 57,1976-04-09,True
Synnøve,Lie,Eriksenekra 17,Svendsen,8031,Norge,NO,19890902-4664,+47,93189332,1989-09-02,True
Albin,Jonsson,Industrigränd 921,Karlstad,59455,Sverige,SE,19771225-2817,+46,0769-175 97,1977-12-25,True
Rune,Johannesson,Villavägen 789,Malmö,81239,Sverige,SE,19530818-3434,+46,0957-213 35,1953-08-18,True
Tonje,Kristiansen,Nilsenalléen 3D,Vik,8967,Norge,NO,19440306-5459,+47,84 79 67 24,1944-03-06,True
Thomas,Aune,Nilsenvollen 3,Runevik,0138,Norge,NO,19690708-8221,+47,09473665,1969-07-08,True
Monica,Fredriksen,Edvardsengrenda 5F,Bakken,0790,Norge,NO,19980430-1430,+47,78 92 73 86,1998-04-30,True
Anna,Pettersson,Granvägen 5,Örnsköldsvik,38356,Sverige,SE,19680203-9801,+46,0927-40 96 09,1968-02-03,True
Anita,Persson,Parkgatan 23,Piteå,80778,Sverige,SE,19610821-2527,+46,+46 (0)8 109 643 46,1961-08-21,True
Pirjo,Jauhiainen,Rapolantie 49,Hamina,66907,Finland,FI,19441016-658J,+358,0334593333,1944-10-16,True
Bengt,Eriksson,Villatorget 4,Borås,42267,Sverige,SE,19750816-7185,+46,08-490 071 71,1975-08-16,True
Greta,Johansson,Järnvägsstigen 84,Jönköping,82737,Sverige,SE,19961109-3455,+46,+46 (0)141 380 61,1996-11-09,True
John,Phelps,Shah Loop 96481,Port Kenneth,11622,Danmark,DK,19450802-3905,+45,366-808-4200x3077,1945-08-02,True
Birgit,Sandström,Backvägen 03,Trelleborg,12148,Sverige,SE,19720619-2564,+46,021-541 98 94,1972-06-19,True
Annette,Johansson,Industrigatan 37,Lidingö,52668,Sverige,SE,19850815-3155,+46,+46 (0)8 632 529 14,1985-08-15,True
Richard,Olsson,Storgränd 48,Falun,37495,Sverige,SE,19960111-3757,+46,08-80 84 30,1996-01-11,True
Ola,Blom,Backgränd 18,Skövde,26602,Sverige,SE,19920223-0978,+46,076-37 49 93,1992-02-23,False
Jenna,Charles,Jessica Islands 042,Port Hannahside,67650,Danmark,DK,19700215-1571,+45,001-515-413-6012,1970-02-15,True
Karl,Myklebust,Tveitstien 123,Karolinedal,5573,Norge,NO,19530722-3772,+47,94 65 24 43,1953-07-22,True
Markus,Arvidsson,Backgatan 0,Trollhättan,85527,Sverige,SE,19890525-8449,+46,0545-270 74,1989-05-25,True
Karolina,Magnusson,Industrivägen 28,Trelleborg,15775,Sverige,SE,19820529-9766,+46,+46 (0)8 394 730 81,1982-05-29,True
Turid,Ellingsen,Ruudløkka 4,Edvardsen,2871,Norge,NO,19560504-2707,+47,957 08 636,1956-05-04,True
Linda,Strøm,Abrahamsenkollen 82,Eriksen,4125,Norge,NO,19460507-1631,+47,+4789657022,1946-05-07,True
Astrid,Magnusson,Strandvägen 1,Sandviken,53181,Sverige,SE,19850418-5942,+46,+46 (0)8 304 539 38,1985-04-18,True
Danny,Burton,Timothy Forges 16672,Jonesshire,70234,Danmhrk,DK,19570802-7428,+45,+1-678-918-0148x9418,1957-08-02,True
Viola,Pettersson,Storvägen 0,Trelleborg,22144,Sverige,SE,19940222-5041,+46,037-44 29 51,1994-02-22,True
Karl,Eriksson,Gengatan 19,Lund,94521,Sverige,SE,19850515-8416,+46,+46 (0)8 581 820 83,1985-05-15,True
Gabriel,Kirby,Mark Mill 6098,Catherinemouth,94595,Danmark,DK,19450423-1448,+45,+1-590-312-6513,1945-04-23,True
Yvonne,Eriksson,Kyrktorget 4,Piteå,62996,Sverige,SE,19531112-5077,+46,08-777 883 58,1953-11-12,True
Janne,Berge,Myhrestykket 1,Egilstrøm,7408,Norge,NO,19780630-5700,+47,94668170,1978-06-30,True
Mario,Hansen,Susan Lodge 60873,Hudsonfort,62751,Danmark,DK,19501102-4826,+45,227.294.3966x591,1950-11-02,True
Marit,Thorsen,Kristoffersenringen 57A,Wenchehavn,8497,Norge,NO,19541113-2247,+47,35 59 29 75,1954-11-13,True
Elsa,Lindberg,Ekgatan 375,Lidköping,19657,Sverige,SE,19600420-3971,+46,08-649 24 06,1960-04-20,True
Mette,Knutsen,Olsenhaugen 2H,Moe,5405,Norge,NO,19830517-6482,+47,02 84 46 42,1983-05-17,True
Olle,Gustafsson,Stationsgatan 929,Helsingborg,32917,Sverige,SE,19691008-3988,+46,0135-11 44 46,1969-10-08,True
Roar,Pedersen,Hanssentoppen 8,Oddeid,6106,Norge,NO,19561104-2153,+47,+47 84 79 46 31,1956-11-04,True
Ingvar,Norman,Kyrkostigen 189,Malmö,98294,Sverige,SE,19881202-3719,+46,+46 (0)22 35 59 74,1988-12-02,True
Kalevi,Jäntti,Werner Wirénin bulevardi 29,Mynämäki,56601,Finland,FI,19880314-1699,+358,+358543609991,1988-03-14,True
Per,Eriksen,Jakobsenvollen 43B,Mariehavn,8376,Norge,NO,19870903-8270,+47,99255317,1987-09-03,True
Susan,Mitchell,Stephen Tunnel 746,Ortegaport,97043,Danmark,DK,19670216-9680,+45,001-588-404-2611x825,1967-02-16,True
Anna,Jönsson,Stationsgatan 71,Ängelholm,59840,Sverige,SE,19941026-1757,+46,079-346 19 17,1994-10-26,True
Gunnar,Holmgren,Stationsvägen 15,Norrköping,45187,Sverige,SE,19650427-1464,+46,0913-773 53,1965-04-27,True
Greta,Isaksson,Industrigatan 93,Mölndal,44376,Sverige,SE,19800930-7421,+46,08-839 09 20,1980-09-30,True
Karl,Gustafsson,Storstigen 03,Mölndal,40665,Sverige,SE,19471016-7172,+46,+46 (0)05 05 30 00,1947-10-16,True
Ole,Arnesen,Eriksengjerdet 46,Sondreby,5107,Norge,NO,19500724-5839,+47,+47 69 85 34 47,1950-07-24,True
Victoria,Holmes,Dawn Knoll 8557,West Shannon,30547,Danmark,DK,20001127-2260,+45,+1-755-954-2606,2000-11-27,True
Karl,Jonsson,Fabriksstigen 976,Sundsvall,42890,Finland,SE,19400821-1548,+46,0271-567 30,1940-08-21,True
Birgitta,Bergman,Järnvägsvägen 50,Göteborg,38866,Sverige,SE,19690207-2396,+46,+46 (0)8 908 980 77,1969-02-07,True
Else,Edvardsen,Lienbråten 7,Sandvik,0129,Norge,NO,19851011-6252,+47,02593371,1985-10-11,True
Bengt,Göransson,Ringtorget 19,Örebro,28998,Sverige,SE,19931013-3650,+46,+46 (0)8 398 242 61,1993-10-13,True
Anita,Höglund,Björkvägen 00,Varberg,53735,Sverige,SE,19730405-5340,+46,063-339 23 33,1973-04-05,True
Anneli,Kinnunen,Hannukselanbulevardi 60,Kaavi,10961,Finland,FI,19660509-8431,+358,+358 946420771,1966-05-09,True
Albin,Olofsson,Aspvägen 120,Lidingö,80861,Sverige,SE,19780607-4319,+46,08-508 62 99,1978-06-07,True
Alan,Smith,Shawn Wells 644,Piercefort,13929,Danmark,DK,19731219-3913,+45,759-726-4785,1973-12-19,True
Lena,Lundström,Grantorget 06,Växjö,70745,Sverige,SE,19720326-7965,+46,+46 (0)8 203 279 56,1972-03-26,True
Anders,Isaksen,Danielsenjordet 6,Gulbrandsen,3446,Norge,NO,19890731-0080,+47,955 02 018,1989-07-31,True
Amanda,Jenkins,Stephanie Stravenue 9917,Mezatown,72346,Danmark,DK,19780113-3371,+45,613.783.5176x441,1978-01-13,True
Bailey,Richardson,Schmidt Forks 777,Port Beverly,07979,Danmark,DK,19501202-4742,+45,(448)918-6193,1950-12-02,True
Johnny,Mooney,Brenda Crescent 52254,Weaverhaven,63320,Danmark,DK,19720816-0280,+45,(806)773-2345x28572,1972-08-16,True
Edvard,Nilsson,Kyrktorget 1,Mölndal,71576,Sverige,SE,19900711-8705,+46,033-95 36 64,1990-07-11,True
Ylva,Nilsson,Backvägen 1,Lidingö,19923,Sverige,SE,19430722-7186,+46,08-100 35 07,1943-07-22,True
Gustav,Forsberg,Åkertorget 70,Norrköping,19990,Sverige,SE,19460520-1957,+46,+46 (0)262 382 63,1946-05-20,True
Ingvar,Isaksson,Trädgårdsvägen 383,Stockholm,15111,Sverige,SE,19631008-9615,+46,0005-86 56 55,1963-10-08,True
Kristina,Persson,Kvarngatan 527,Lidköping,34575,Sverige,SE,19800225-5847,+46,+46 (0)68 70 17 19,1980-02-25,True
Alexander,Lunde,Nilsensvingen 5D,Jenssen,4969,Norge,NO,19880409-8218,+47,+4729583334,1988-04-09,True
Heidi,Brekke,Aasengropa 8E,Roarby,9211,Norge,NO,19730408-8430,+47,470 71 824,1973-04-08,True
Tommy,Friberg,Parkvägen 2,Gävle,90186,Sverige,SE,19630318-3558,+46,08-327 11 99,1963-03-18,True
Trond,Bakken,Larsenbråten 82H,Rønning,6321,Norge,NO,19701014-0529,+47,49 69 00 70,1970-10-14,True
Evert,Persson,Kyrkovägen 073,Borlänge,39588,Sverige,SE,19680901-1581,+46,089-699 01 58,1968-09-01,True
Olavi,Suomalainen,Maatullinkatu 4,Sonkajärvi,93614,Finland,FI,19860723-0771,+358,0380632054,1986-07-23,True
Maria,Fransson,Trädgårdsvägen 23,Kristianstad,19466,Sverige,SE,19990218-2369,+46,0890-70 80 17,1999-02-18,True
Marit,Berge,Myklebustgrenda 6,Terjegrunn,5922,Norge,NO,19580924-9225,+47,85 46 01 01,1958-09-24,True
Breanna,Norton,Richard Mall 527,East Willie,06189,Danmark,DK,19440218-1160,+45,001-269-778-8595,1944-02-18,True
Kristiina,Lehtinen,Niemipolku 6,Närpiö,07987,Finland,FI,19461117-3371,+46,+358433786368,1946-11-17,True
Linn,Moen,Gundersenhavna 5E,Johansen,5753,Norge,NO,19880528-0107,+47,426 92 392,1988-05-28,True
Arne,Andersson,Kvarnstigen 382,Eskilstuna,46124,Sverige,SE,19641216-1589,+46,037-55 72 85,1964-12-16,True
Chloe,Oliver,Jennifer Route 207,North Ashley,36140,Danmark,DK,20000907-8229,+45,+1-348-614-6107x043,2000-09-07,True
Ronald,Johnson,Elizabeth Springs 692,Rodneyborough,08355,Danmark,DK,19801213-0978,+45,873.825.7324x562,1980-12-13,True
Tobias,Johansson,Industristigen 133,Göteborg,13304,Sverige,SE,19520523-9592,+46,072-670 94 04,1952-05-23,True
Åke,Johansson,Gengatan 2,Linköping,99607,Sverige,SE,20001113-4355,+46,+46 (0)8 346 457 34,2000-11-13,True
Klas,Eriksson,Fabriksgränd 1,Sundsvall,92545,Sverige,SE,19580806-6655,+46,+46 (0)8 203 206 04,1958-08-06,True
Alexander,Ekberg,Strandgatan 5,Örebro,35793,Sverige,SE,19550626-9181,+46,08-729 324 48,1955-06-26,True
Jacqueline,Browning,Spence Mountains 9012,South Tyler,12182,Danmark,DK,19850708-1667,+45,001-703-813-5885x9837,1985-07-08,True
Gabriela,Hughes,Alvarado Freeway 710,South Brandon,98770,Danmark,DK,19940613-3187,+45,(819)318-1721x20933,1994-06-13,True
Dorothy,Wright,Alvarado Creek 77805,New Janetbury,75190,Danmark,DK,19521025-6651,+45,(203)744-8722x91780,1952-10-25,True
Olof,Holm,Grangränd 898,Lund,59231,Sverige,SE,19620926-3779,+46,+46 (0)518 360 64,1962-09-26,True
Henrik,Antonsen,Sørensenflata 74D,Rasmussen,1355,Norge,NO,19841027-1719,+47,491 09 530,1984-10-27,True
Brian,Boyd,Morales Motorway 1167,Kimberlyview,94234,Danmark,DK,19991213-8588,+45,(714)225-2322,1999-12-13,True
Ingemar,Jonsson,Parkstigen 2,Södertälje,73905,Sverige,SE,19740408-1631,+46,026-43 86 23,1974-04-08,True
Olle,Hedlund,Strandgränd 98,Uddevalla,19878,Sverige,SE,19800127-6590,+46,+46 (0)8 435 763 69,1980-01-27,True
Randi,Ellingsen,Tangenberget 2,Janhavn,3529,Norge,NO,19650208-9425,+47,12724884,1965-02-08,True
Ola,Thorsen,Rasmussentjernet 4,Sigridstrand,9806,Norge,NO,19850308-3368,+47,972 89 562,1985-03-08,True
Göran,Svensson,Grantorget 925,Jönköping,49862,Sverige,SE,19720120-6443,+46,08-93 35 40,1972-01-20,True
Bente,Tveit,Bergengen 72,Gulbrandsen,8954,Norge,NO,19960102-2291,+47,+4774302545,1996-01-02,True
Anette,Solheim,Engenhøgda 6C,Anitaodden,0226,Norge,NO,19850927-9125,+47,97 09 43 76,1985-09-27,True
Björn,Eriksson,Aspvägen 68,Jönköping,34482,Sverige,SE,19520406-1609,+46,08-264 957 53,1952-04-06,True
Louise,Andersson,Ekgränd 991,Lund,14759,Sverige,SE,19581023-7863,+46,0009-28 77 53,1958-10-23,True
Elisabet,Johnsson,Kyrkvägen 301,Lidingö,24725,Sverige,SE,19890225-6239,+46,041-190 14 09,1989-02-25,True
Malin,Lundberg,Åkervägen 7,Göteborg,56947,Sverige,SE,19620121-8482,+46,022-72 01 42,1962-01-21,True
Sofia,Karlsson,Fabriksgatan 4,Skövde,97148,Sverige,SE,19840520-6866,+46,057-59 05 12,1984-05-20,True
Kelly,Duncan,Tamara Mount 53766,East Glennhaven,31098,Danmark,DK,19421024-0701,+45,675.760.0915,1942-10-24,True
Roger,Gustavsson,Ringgränd 120,Gävle,72471,Sverige,SE,19430731-5793,+46,051-03 36 25,1943-07-31,True
Alexander,Rønning,Ahmedvika 6,Mariushavn,6631,Norge,NO,19460321-2447,+47,97551099,1946-03-21,True
Gregory,Hardin,Barbara Groves 695,Bowmanville,77649,Danmark,DK,19980630-4567,+45,993-516-2508,1998-06-30,True
Antti,Vesterinen,Niittyläntie 7,Uusikaupunki,67213,Finland,FI,19870511-3047,+358,+358845907678,1987-05-11,True
Lennart,Hellström,Strandvägen 8,Örebro,97397,Sverige,SE,19690525-8619,+46,+46 (0)99 18 87 12,1969-05-25,True
Riitta,Lehto,Puuskakatu 535,Hyrynsalmi,74584,Finland,FI,19790823-803M,+358,0819783392,1979-08-23,True
Uno,Lindgren,Ekgränd 914,Mölndal,43069,Sverige,SE,19810713-6372,+46,+46 (0)68 45 04 71,1981-07-13,True
Erik,Kristiansson,Idrottsgatan 9,Umeå,70871,Sverige,SE,19661108-8877,+46,0113-52 39 07,1966-11-08,True
Kyle,Thompson,Garcia Lodge 67033,Brandonbury,14008,Danmark,DK,19660922-2635,+45,(793)426-2294,1966-09-22,True
Veera,Kuosmanen,Haahkakuja 11,Hanko,60053,Finland,FI,19550628-543X,+358,+358 202299826,1955-06-28,True
Lina,Dahl,Fabriksvägen 9,Eskilstuna,28166,Sverige,SE,19741116-4586,+46,08-416 31 60,1974-11-16,True
Gun,Johansson,Nyvägen 845,Lidingö,38370,Sverige,SE,19690627-0425,+46,08-41 49 88,1969-06-27,True
Einar,Martinsen,Svendsenstubben 8,Jonø,8209,Norge,NO,19510310-4584,+47,46300888,1951-03-10,True
Trond,Jacobsen,Hauglandmoen 26,Næss,4933,Norge,NO,19650513-5815,+47,+4752309669,1965-05-13,True
Greta,Lundin,Trädgårdsstigen 73,Kristianstad,10195,Danmark,SE,19960128-7225,+46,069-071 58 71,1996-01-28,True
Samantha,Williams,Owen Gardens 43384,North Colin,21012,Danmark,DK,19771119-5647,+45,001-561-283-1443x17252,1977-11-19,True
Bjørn,Bøe,Lierøa 76C,Rolfnes,8684,Norge,NO,19810722-0707,+47,486 80 329,1981-07-22,True
Kerstin,Jonsson,Björkgatan 79,Trollhättan,85692,Sverige,SE,19430212-4515,+46,0028-166 15,1943-02-12,True
Petteri,Heino,Fallpakanpolku 37,Pertunmaa,31885,Finland,FI,19670330-054H,+358,+358 38 7306368,1967-03-30,True
Uno,Boström,Skolvägen 338,Lidköping,71885,Sverige,SE,19530611-4450,+46,0756-344 80,1953-06-11,True
Julia,Stark,Morton Port 971,Ellistown,51327,Danmark,DK,19750118-2935,+45,427.240.5478,1975-01-18,True
Kimberly,Richmond,Tara Forest 58739,Jamesborough,90521,Danmark,DK,19420508-2470,45,001-547-651-8856x97332,1942-05-08,True
Håkan,Strömberg,Asptorget 54,Kalmar,44175,Sverige,SE,19600615-4855,+46,+46 (0)59 32 03 19,1960-06-15,True
Mari,Heinonen,Aidasmäenbulevardi 4,Kyyjärvi,89062,Finland,FI,19481109-311P,+358,+358 48 4181105,1948-11-09,True
Hege,Mikkelsen,Andersenbakken 40C,Helenesjøen,2493,Norge,NO,19970916-6176,+47,59722775,1997-09-16,True
Maija,Virtanen,Lukkarimäenkuja 95,Luumäki,89361,Finland,FI,19700621-271V,+358,030 826 4756,1970-06-21,True
Maria,Olsson,Kvarngatan 179,Kristianstad,26675,Sverige,SE,19810910-4286,+46,08-157 85 41,1981-09-10,True
Robert,Andersson,Ekstigen 681,Uppsala,53177,Sverige,SE,19671009-2276,+46,08-699 99 12,1967-10-09,True
Axel,Forsberg,Kvarngatan 6,Linköping,74142,Sverige,SE,19680209-2836,+46,08-455 980 14,1968-02-09,True
Jonas,Aune,Evensentjernet 6,Gulbrandsen,5506,Norge,NO,19430823-1099,+47,+47 59 24 17 82,1943-08-23,True
Karin,Johnsen,Pettersenberget 6,Elinborg,8290,Norge,NO,19451222-8497,+47,58 23 37 29,1945-12-22,True
Erik,Möller,Kvarngatan 08,Landskrona,17205,Sverige,SE,19430401-9409,+46,0897-88 43 24,1943-04-01,True
Astrid,Hauge,Lundestranda 60D,Cathrinefjord,4604,Norge,NO,19770927-8035,+47,28355499,1977-09-27,True
Elisabeth,Pålsson,Bäckgränd 088,Eskilstuna,24538,Sverige,SE,19651207-6110,+46,005-34 77 14,1965-12-07,True
Simon,Hansson,Parkgatan 1,Uddevalla,10344,Sverige,SE,19850106-4713,+46,0929-80 83 49,1985-01-06,True
Cecilia,Henriksson,Fabriksgatan 032,Varberg,93489,Sverige,SE,19471020-3335,+46,+46 (0)03 26 10 03,1947-10-20,True
Sander,Johannessen,Jensengropa 6,Holm,5842,Norge,NO,19870215-7423,+47,58 73 67 39,1987-02-15,True
Bradley,Wells,Wilkins Dale 979,Grossbury,66012,Danuark,DK,19840316-2253,+45,(753)200-5799x407,1984-03-16,True
Crystal,Christensen,Allen Orchard 483,East Destiny,86845,Danmark,DK,19990120-5201,+45,491-987-9487x1426,1999-01-20,True
Helena,Nilsson,Ängsvägen 957,Mölndal,77697,Sverige,SE,19541113-5902,+46,+46 (0)76 74 75 27,1954-11-13,True
Øystein,Martinsen,Bakkenvollen 90,Antonsen,7106,Norge,NO,19420513-0717,+47,+47 56 62 61 24,1942-05-13,True
Grethe,Hauge,Dahlholtet 5,Holm,4912,Norge,NO,19480318-8650,+47,+4763792258,1948-03-18,True
Britt,Mikkelsen,Christensenlyngen 2,Knutsen,8174,Norge,NO,19440103-4403,+47,84 42 60 30,1944-01-03,True
Daniel,Aaltonen,Elimäenkuja 370,Viitasaari,82193,Finland,FI,19420105-728Y,+358,+358 601690147,1942-01-05,True
Christian,Strøm,Nilsenhavna 93F,Sæther,3809,Norge,NO,19950702-5077,+47,27 96 55 78,1995-07-02,True
Kimberly,Dunn,Knight Ford 55997,Lynchfort,64897,Danmark,DK,19470617-8131,+45,360-657-3277,1947-06-17,True
Stig,Paulsen,Strandåsen 3,Øyvindstrøm,7869,Norge,NO,19941004-1113,47,38 88 19 86,1994-10-04,True
Marjatta,Leppänen,Sadekatu 96,Kempele,32352,Finland,FI,19890327-1052,+358,+358 44 1330336,1989-03-27,True
Jonas,Tangen,Haugentjernet 6,Tonjeeid,7648,Norge,NO,19800522-3765,+47,23 99 11 22,1980-05-22,True
Hanna,Persson,Villagatan 81,Gävle,78251,Sverige,SE,19990503-0007,+46,08-36 10 40,1999-05-03,True
Barbro,Jakobsson,Åkergatan 6,Karlskoga,15822,Sverige,SE,19740112-4274,+46,059-476 20 70,1974-01-12,True
Axel,Persson,Stationstorget 367,Helsingborg,18268,Sverige,SE,19991024-9042,+46,+46 (0)44 62 51 17,1999-10-24,True
Maria,Björkman,Bäckgatan 808,Luleå,42406,Sverige,SE,19861003-3135,+46,+46 (0)052 762 36,1986-10-03,True
Sonja,Lindqvist,Skolgatan 6,Helsingborg,97203,Sverige,SE,19720713-6009,+46,08-424 028 85,1972-07-13,True
Jan,Lundberg,Backgatan 59,Nyköping,47912,Sverige,SE,19670911-3662,+46,+46 (0)024 159 52,1967-09-11,True
Elvira,Lundqvist,Granstigen 230,Luleå,23123,Sverige,SE,19990215-5350,+46,+46 (0)8 559 739 54,1999-02-15,True
Einar,Rønning,Gulbrandsenhavna 89,Danielborg,1976,Norge,NO,19520414-4265,+47,494 89 110,1952-04-14,True
Sofia,Persson,Industrivägen 042,Östersund,43414,Sverige,SE,19871114-6082,+46,0317-77 83 43,1987-11-14,True
Aina,Andersson,Granvägen 529,Alingsås,71910,Sverige,SE,19520712-0382,+46,0628-716 68,1952-07-12,True
Ulrika,Höglund,Trädgårdsgränd 868,Göteborg,12004,Sverige,SE,19650201-4709,+46,08-329 456 27,1965-02-01,True
Eva,Hansen,Evensenmyra 3,Sigridhelle,8550,Norge,NO,19470301-2357,+47,88 67 26 03,1947-03-01,True
Kent,Söderström,Fabriksstigen 07,Sandviken,62783,Finland,SE,19900724-9918,+46,007-17 11 49,1990-07-24,True
Nina,Andresen,Kristiansenspranget 7G,Johanvær,9218,Norge,NO,19901225-6259,+47,44371228,1990-12-25,True
Anniina,Halme,Bergankatu 7,Keminmaa,84489,Finland,FI,19770408-4485,+358,0894877324,1977-04-08,True
Mattias,Nilsson,Aspgatan 945,Gävle,30461,Sverige,SE,19951019-2590,+46,08-22 49 56,1995-10-19,True
Gro,Andresen,Evensenstykket 3H,Christensen,7495,Danmark,NO,19530620-0606,+47,927 78 710,1953-06-20,True
Juhani,Hänninen,Uunisepänkatu 65,Oulu,12564,Finland,FI,19911129-4632,+358,+358 795810304,1991-11-29,True
John,Mcdonald,Kristen Loop 295,Lake Mariaburgh,08674,Danmark,DK,19790108-5201,+45,001-500-247-5080x830,1979-01-08,True
Stian,Bøe,Jenssensvingen 31A,Nielsen,0328,Norge,NO,19780223-5020,+47,85 81 81 42,1978-02-23,True
Gustaf,Larsson,Fabriksgatan 109,Landskrona,61333,Sverige,SE,19840503-9878,+46,0851-714 08,1984-05-03,True
Pia,Pettersson,Skolgatan 952,Östersund,62499,Sverige,SE,19530831-9024,+46,08-235 62 04,1953-08-31,True
Ryan,Mitchell,Christopher Drive 3959,Gregoryfurt,81799,Danmark,DK,19450218-8174,+45,603-442-6975x5719,1945-02-18,True
Marius,Sandvik,Edvardsenspranget 80,Bøe,9740,Norge,NO,19641025-5420,+47,+4720201722,1964-10-25,True
Jens,Ruud,Brekkekollen 488,Emmaborg,0797,Norge,NO,19890409-2676,+47,+4747070084,1989-04-09,True
Espen,Berge,Brekkestykket 66H,Synnøveø,7361,Norge,NO,19461213-0441,+47,49333854,1946-12-13,True
Linnea,Larsson,Kvarnvägen 68,Trollhättan,19678,Sverige,SE,19530102-7418,+46,08-40 06 86,1953-01-02,True
Anders,Mårtensson,Åkergatan 6,Karlstad,59600,Sverige,SE,19600706-0865,+46,+46 (0)85 02 19 42,1960-07-06,True
Jonas,Johansson,Idrottsgatan 87,Alingsås,66210,Snerige,SE,19810428-2267,+46,08-283 79 17,1981-04-28,True
Erik,Nilsson,Genvägen 60,Jönköping,23256,Sverige,SE,19791117-4473,+46,08-792 503 40,1979-11-17,True
Jessica,Goodwin,Joshua Stravenue 149,West Rickyland,32286,Danmark,DK,19600325-9694,+45,001-631-270-7945x20040,1960-03-25,True
Samantha,Leach,Griffin Locks 8871,Kimberlyburgh,54829,Danmark,DK,19710707-1015,+45,698-226-7937x6910,1971-07-07,True
David,Miller,Morgan Cape 4556,East Cynthiashire,02342,Danmark,DK,19430716-4963,+45,+1-844-372-8136,1943-07-16,True
Henrik,Hansen,Lienbråten 3,Antonsen,3543,Norge,NO,19430517-6041,+47,27803737,1943-05-17,True
David,Williams,Reynolds Walk 4834,Wellsburgh,07521,Danmark,DK,19860809-9728,+45,(220)861-6003x584,1986-08-09,True
Randi,Haugland,Haugehagen 2,Linnsund,2318,Norge,NO,19651102-6551,+45,99423665,1965-11-02,True
Michael,Black,Jerry Loaf 639,Sarahaven,86394,Danmark,DK,19610728-6557,+45,(599)885-6681x56489,1961-07-28,True
Robert,Larsson,Skogsgränd 1,Kalmar,49996,Sverige,SE,19471014-5648,+46,0107-670 93,1947-10-14,True
Erik,Johansson,Industristigen 014,Kalmar,26049,Sverige,SE,19400831-7404,+46,0383-989 63,1940-08-31,True
Brandon,Ruiz,Spears Street 09820,North Kyle,86346,Danmark,DK,19440606-7809,+45,447-661-6915,1944-06-06,True
Johan,Björk,Kvarngränd 68,Göteborg,31379,Sverige,SE,19570420-6466,+46,0684-09 31 87,1957-04-20,True
Lennart,Andersson,Åkergatan 69,Örnsköldsvik,83988,Sverige,SE,19871122-9001,+46,08-91 75 66,1987-11-22,True
Sara,Knudsen,Nilsentjernet 4,Andersen,9761,Norge,NO,19710812-3228,+47,+47 08 27 15 74,1971-08-12,True
Marius,Aasen,Ellingsenflata 6,Finnodden,8398,Finland,NO,19671005-6920,+47,990 86 349,1967-10-05,True
Lena,Larsson,Trädgårdsgatan 563,Borlänge,30008,Sverige,SE,19650308-0117,+46,08-138 555 64,1965-03-08,True
John,Andersson,Industrivägen 2,Borlänge,42098,Sverige,SE,19930115-8516,+46,08-471 69 65,1993-01-15,True
Ulla,Persson,Stationsgränd 49,Mölndal,72142,Sverige,SE,19820529-0762,+46,0207-22 13 77,1982-05-29,True
Peter,Gustafsson,Ringgatan 66,Helsingborg,66179,Sverige,SE,19401206-4983,+46,+46 (0)8 946 280 70,1940-12-06,True
Petter,Andersson,Skolgränd 3,Nyköping,91495,Sverige,SE,19750910-5161,+46,0964-12 05 81,1975-09-10,True
Raili,Nieminen,Salavapolku 65,Karvia,42235,Finland,FI,19670116-715T,+358,0905961589,1967-01-16,True
Bjørn,Evensen,Bøeholtet 8,Olsen,2423,Norge,NO,19680505-5312,+47,46781042,1968-05-05,True
Elisabeth,Strömberg,Bäckgatan 08,Lidköping,42341,Sverige,SE,19830614-4552,+46,0610-026 44,1983-06-14,True
Erik,Larsson,Industristigen 078,Kalmar,61365,Sverige,SE,19701110-2095,+46,+46 (0)8 276 908 00,1970-11-10,True
Jan,Johansson,Industrigatan 749,Kalmar,99257,Sverige,SE,19950521-8179,+46,+46 (0)211 089 45,1995-05-21,True
Ingeborg,Ekström,Bäcktorget 92,Borlänge,55555,Sverige,SE,19421231-5241,+46,059-65 56 56,1942-12-31,True
Hans,Andersson,Ringgatan 0,Stockholm,76122,Norge,SE,19941221-9436,+46,08-01 97 04,1994-12-21,True
Brian,Garza,Ann Garden 30052,North Tanyatown,38118,Danmark,DK,19420116-6691,+45,380-861-0467x27056,1942-01-16,True
Mikael,Eriksson,Ängsgränd 22,Uppsala,37296,Sverige,SE,19690724-3422,+46,+46 (0)65 05 93 64,1969-07-24,True
Christine,Baldwin,Michele Vista 93387,Traciberg,19592,Danmark,DK,19740524-5269,+45,(735)204-5651,1974-05-24,True
Orvokki,Nevalainen,Lautamiehentie 506,Savonlinna,24654,Finland,FI,19710127-4742,+358,+358639123343,1971-01-27,True
Edit,Andersson,Järnvägsvägen 88,Helsingborg,51774,Sverige,SE,19530314-1895,+46,092-10 88 65,1953-03-14,True
Yvonne,Karlsson,Järnvägsvägen 9,Sandviken,56513,Sverige,SE,19741010-5929,+46,0477-916 45,1974-10-10,True
Jussi,Holm,Bergantie 0,Loimaa,97383,Finland,FI,19491214-0387,+358,+358 724167955,1949-12-14,True
